Index,airfoil,r_le,x_t,y_t,k_t,beta_te,gamm_le,x_c,y_c,k_c,alpha_te
118,e340,-0.00956952102943084,0.30962947071069047,0.068853335264947,-0.6935405081794054,0.20333351028147703,0.09822712479229652,0.20023323279046565,0.026419423826277204,-1.7487964913835814,0.0020000319483881603
119,e341,-0.009811793674911943,0.3132463921301656,0.06988836985323925,-0.6683990556776331,0.19022573259600167,0.08852288229932186,0.21421320692441995,0.03182762799411664,-1.6960149026632543,0.002
120,e342,-0.00944489364269395,0.31409476830926963,0.07112699531511586,-0.6550808823056458,0.18322700011558596,0.06473315216974183,0.2312414104359821,0.03589007460660761,-1.2514290415049294,0.0020004087999313386
121,e343,-0.010602677059322033,0.31361420473703194,0.07239955344213897,-0.7382822775715167,0.18262247713164176,0.04188565654325916,0.2469335731347239,0.03999871500714392,-0.9943919434206825,0.002002228457622386
122,e344,-0.011483428479113798,0.3145451743376784,0.07383418937430661,-0.8268881981049276,0.18049031672457438,0.08009232795367917,0.2604908872212623,0.044008303466392236,-0.8396566922319612,0.00712800682602122
123,e385,-0.0016292096558055478,0.3000816956613252,0.041783314835641086,-0.3244975365963577,0.026488379912579674,0.30789442767447667,0.43795078139000565,0.05723252019305493,-0.4666914200907363,0.2464461319676655
124,e393,-0.006294200787711683,0.324299099400481,0.05740720710850799,-0.5122487435688331,0.07218416020319623,0.21976738439006385,0.4638449946597497,0.04005751486912079,-0.32820461139819057,0.23588692326311578
125,e403,-0.00577730341176368,0.3826068362073916,0.07433797925089312,-0.49507089237753055,0.09669811748465588,0.1082676591375902,0.7300673389639947,0.03050420108570354,-0.3063639704877987,0.16716966583851423
126,e407,-0.00527647732173231,0.3794781433527349,0.07170732852592855,-0.4660442727396057,0.09022296481380847,0.14182181270183036,0.7214583456301698,0.03295391123015764,-0.2987127436579755,0.19842156030698618
127,e417,-0.0066419599003247135,0.38367667931199756,0.07089330865952814,-0.5534458336060127,0.11424102540899637,0.045915649960645066,0.7684698088981076,0.031048309951076748,-0.031017632221501865,0.2981264531355634
128,e431,-0.005475939796996847,0.3898886942272213,0.07564242918497849,-0.44430080246356146,0.09267050290332181,0.2130398134334975,0.38509933675241753,0.04169423632188094,-0.25796870991051096,0.2854927790528329
129,e432,-0.004828984109244652,0.36557121689534855,0.07925836385486232,-0.5074365494898111,0.07983087260917908,0.18486887709433472,0.35651434506988267,0.043621601201148455,-0.39240270593075477,0.7
130,e433,-0.0033109709446270843,0.39698434250086023,0.07080597412835327,-0.36263616519794056,0.0704349303599277,0.23013457700399936,0.4256568854091758,0.03923625402705345,-0.1349611073926713,0.2712516968261718
131,e434,-0.002640364943844182,0.379168066132879,0.06612345334683735,-0.3497003452310814,0.0625784913359208,0.19364207052726212,0.36910454717252456,0.043120597870312985,-0.4398109538001559,0.20979453240434645
132,e435,-0.005446055668812118,0.3713480646910241,0.0806384687895044,-0.5335897758100004,0.07834874877518791,0.22207496367695598,0.49353190390789675,0.04314497519633906,-0.02717827741558793,0.2761449790227884
133,e471,-0.05,0.2875475073307027,0.03155220297070976,-0.23901310300481857,0.02904276210143443,0.24766891313386594,0.5102358262864419,0.04710472876488377,-0.30374179175584803,0.2644003403809465
134,e502,-0.006755088677483623,0.4235889066172106,0.0781858695739879,-0.4998631336853598,0.11332110166941069,0.11061961773673133,0.3379318230675192,0.015805274085765555,-0.3766647802187384,0.02153129345983569
135,e540,-0.007167340438355845,0.43631757794106746,0.08419891429770822,-0.5172723749357644,0.11999998741266643,0.11174360561092576,0.3328145983550126,0.015033848120821246,-0.02922815669647563,0.5773964694099427
136,e541,-0.005761200990563886,0.45,0.08286385363979987,-0.44092734822852775,0.11458111932424539,0.09854200987212945,0.31064703771767727,0.015971862742855433,-0.1003355960151259,0.7
137,e542,-0.006612001635345726,0.42007124276945346,0.08390959296994488,-0.4870610030765264,0.12033666161396869,0.1608734001114224,0.2786967466914813,0.019085967467822984,-0.18060875648695718,0.02742801648059303
138,e543,-0.006224272141730795,0.41078053533025116,0.08562307505226639,-0.5231542956275039,0.10486783842857672,0.09935078429914661,0.295532727088694,0.017269975957709825,-0.1354898977713195,0.6763115726336519
